method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,0.0000,0.5048,0.093293,0.00
no_memory,1,0.5000,0.7524,0.159241,0.00
no_memory,2,0.3333,0.5016,0.192701,0.00
no_memory,3,0.2500,0.3762,0.357576,0.00
no_memory,4,0.4000,0.5010,0.480644,0.00
no_memory,5,0.5000,0.5841,0.619348,0.00
no_memory,6,0.4286,0.5007,0.783007,0.00
no_memory,7,0.3750,0.5484,0.868967,0.00
no_memory,8,0.3333,0.5874,1.038576,0.00
no_memory,9,0.4000,0.6287,1.059171,0.00
no_memory,10,0.4545,0.6624,1.094851,0.00
no_memory,11,0.5000,0.6905,1.220997,0.00
no_memory,12,0.4615,0.7134,1.345923,0.00
no_memory,13,0.4286,0.7299,1.493770,0.00
no_memory,14,0.4667,0.7479,1.582972,0.00
no_memory,15,0.4375,0.7012,1.666941,0.00
no_memory,16,0.4118,0.7153,1.905345,0.00
no_memory,17,0.3889,0.6755,1.956994,0.00
no_memory,18,0.3684,0.6400,1.992665,0.00
no_memory,19,0.4000,0.6580,2.022415,0.00
ours_full,0,0.0000,0.6619,12.549472,15.00
ours_full,1,0.0000,0.3310,12.632738,15.00
ours_full,2,0.0000,0.2206,12.665072,15.00
ours_full,3,0.0000,0.1655,12.861642,15.00
ours_full,4,0.0000,0.3144,12.961557,15.00
ours_full,5,0.0000,0.4243,13.104367,15.00
ours_full,6,0.0000,0.4846,13.301573,15.00
ours_full,7,0.1250,0.5490,13.441683,15.00
ours_full,8,0.1111,0.5866,13.607821,15.00
ours_full,9,0.2000,0.6280,13.635080,15.00
ours_full,10,0.2727,0.6618,13.679403,15.00
ours_full,11,0.3333,0.6900,13.749257,15.00
ours_full,12,0.3077,0.7129,13.878655,15.00
ours_full,13,0.2857,0.6619,14.029792,15.00
ours_full,14,0.3333,0.6845,14.233710,15.00
ours_full,15,0.3750,0.7042,14.280997,15.00
ours_full,16,0.3529,0.7109,14.467166,15.00
ours_full,17,0.3889,0.7270,14.527861,15.00
ours_full,18,0.4211,0.7414,14.590228,15.00
ours_full,19,0.4000,0.7043,14.632406,15.00
