method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.038707,0.00
no_memory,1,1.0000,1.0000,0.092012,0.00
no_memory,2,0.6667,0.9306,0.241229,0.00
no_memory,3,0.7500,0.9480,0.351081,0.00
no_memory,4,0.8000,0.9584,0.381781,0.00
no_memory,5,0.8333,0.9653,0.442341,0.00
no_memory,6,0.7143,0.9622,0.531445,0.00
no_memory,7,0.7500,0.9669,0.574530,0.00
no_memory,8,0.7778,0.9706,0.619499,0.00
no_memory,9,0.7000,0.9694,0.729762,0.00
no_memory,10,0.7273,0.9722,0.767654,0.00
no_memory,11,0.6667,0.9584,0.927574,0.00
ours_full,0,1.0000,1.0000,1.770657,5.00
ours_full,1,1.0000,1.0000,1.856555,5.00
ours_full,2,1.0000,1.0000,1.957089,5.00
ours_full,3,0.7500,0.9866,2.095770,5.00
ours_full,4,0.8000,0.9893,2.125825,5.00
ours_full,5,0.8333,0.9911,2.169182,5.00
ours_full,6,0.7143,0.9859,2.252017,5.00
ours_full,7,0.7500,0.9876,2.310483,5.00
ours_full,8,0.7778,0.9890,2.366038,5.00
ours_full,9,0.7000,0.9860,2.433455,5.00
ours_full,10,0.7273,0.9873,2.479668,5.00
ours_full,11,0.6667,0.9849,2.746618,5.00
