method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,0.0000,0.9663,0.148263,0.00
no_memory,1,0.5000,0.9831,0.243425,0.00
no_memory,2,0.6667,0.9888,0.314521,0.00
no_memory,3,0.7500,0.9916,0.445824,0.00
no_memory,4,0.6000,0.9560,0.681948,0.00
no_memory,5,0.5000,0.9583,0.792952,0.00
no_memory,6,0.4286,0.9382,0.922881,0.00
no_memory,7,0.3750,0.9455,1.081887,0.00
no_memory,8,0.3333,0.9231,1.184292,0.00
no_memory,9,0.4000,0.9308,1.265038,0.00
no_memory,10,0.3636,0.9362,1.343623,0.00
no_memory,11,0.4167,0.9415,1.464521,0.00
no_memory,12,0.3846,0.9442,1.509159,0.00
no_memory,13,0.4286,0.9482,1.632327,0.00
no_memory,14,0.4667,0.9517,1.691744,0.00
no_memory,15,0.4375,0.9536,1.793962,0.00
no_memory,16,0.4118,0.9560,1.930892,0.00
no_memory,17,0.4444,0.9584,2.021746,0.00
ours_full,0,1.0000,1.0000,12.096644,9.00
ours_full,1,1.0000,1.0000,12.186928,9.00
ours_full,2,1.0000,1.0000,12.266821,9.00
ours_full,3,1.0000,1.0000,12.335847,9.00
ours_full,4,1.0000,1.0000,12.449738,9.00
ours_full,5,0.8333,0.9964,12.580984,9.00
ours_full,6,0.8571,0.9969,12.655996,9.00
ours_full,7,0.8750,0.9973,12.743704,9.00
ours_full,8,0.8889,0.9976,12.865343,9.00
ours_full,9,0.9000,0.9979,12.934541,9.00
ours_full,10,0.9091,0.9981,13.026842,9.00
ours_full,11,0.9167,0.9982,13.083086,9.00
ours_full,12,0.9231,0.9984,13.137302,9.00
ours_full,13,0.9286,0.9985,13.236329,9.00
ours_full,14,0.9333,0.9986,13.284753,9.00
ours_full,15,0.9375,0.9987,13.361429,9.00
ours_full,16,0.9412,0.9987,13.431966,9.00
ours_full,17,0.9444,0.9988,13.544583,9.00
