method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.119328,0.00
no_memory,1,0.5000,0.9959,0.263689,0.00
no_memory,2,0.3333,0.9940,0.342282,0.00
no_memory,3,0.2500,0.9857,0.447216,0.00
no_memory,4,0.2000,0.9502,0.676241,0.00
no_memory,5,0.1667,0.9546,0.812349,0.00
no_memory,6,0.1429,0.9596,0.863425,0.00
no_memory,7,0.1250,0.9610,0.946600,0.00
no_memory,8,0.1111,0.9621,1.106253,0.00
no_memory,9,0.1000,0.9627,1.199480,0.00
no_memory,10,0.0909,0.9651,1.332980,0.00
no_memory,11,0.0833,0.9485,1.503692,0.00
no_memory,12,0.0769,0.9482,1.602347,0.00
no_memory,13,0.0714,0.9499,1.665371,0.00
no_memory,14,0.0667,0.9523,1.782225,0.00
no_memory,15,0.0625,0.9533,1.890501,0.00
no_memory,16,0.0588,0.9536,2.028860,0.00
no_memory,17,0.1111,0.9562,2.100303,0.00
no_memory,18,0.1053,0.9504,2.439349,0.00
no_memory,19,0.1000,0.9506,2.598893,0.00
ours_full,0,1.0000,1.0000,6.224670,12.00
ours_full,1,0.5000,0.9883,6.295043,12.00
ours_full,2,0.3333,0.9890,6.379737,12.00
ours_full,3,0.2500,0.9902,6.540656,12.00
ours_full,4,0.4000,0.9922,6.697892,12.00
ours_full,5,0.3333,0.9899,6.931898,12.00
ours_full,6,0.4286,0.9913,6.990461,12.00
ours_full,7,0.3750,0.9887,7.054926,12.00
ours_full,8,0.3333,0.9886,7.209784,12.00
ours_full,9,0.4000,0.9898,7.318770,12.00
ours_full,10,0.4545,0.9907,7.393614,12.00
ours_full,11,0.5000,0.9915,7.553869,12.00
ours_full,12,0.4615,0.9859,7.683817,12.00
ours_full,13,0.5000,0.9869,7.754094,12.00
ours_full,14,0.5333,0.9878,7.865090,12.00
ours_full,15,0.5625,0.9885,7.948389,12.00
ours_full,16,0.5294,0.9874,8.096490,12.00
ours_full,17,0.5000,0.9870,8.181089,12.00
ours_full,18,0.4737,0.9740,8.352264,12.00
ours_full,19,0.5000,0.9753,8.448647,12.00
