method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.012161,0.00
no_memory,1,1.0000,1.0000,0.027344,0.00
no_memory,2,1.0000,1.0000,0.062219,0.00
no_memory,3,0.7500,0.7500,0.079503,0.00
no_memory,4,0.8000,0.8000,0.092705,0.00
no_memory,5,0.8333,0.8333,0.105585,0.00
no_memory,6,0.7143,0.7143,0.139828,0.00
no_memory,7,0.7500,0.7500,0.217491,0.00
no_memory,8,0.7778,0.7778,0.265824,0.00
no_memory,9,0.7000,0.7000,0.278941,0.00
no_memory,10,0.7273,0.7273,0.347388,0.00
no_memory,11,0.6667,0.6667,0.367130,0.00
no_memory,12,0.6923,0.6923,0.406100,0.00
no_memory,13,0.6429,0.6429,0.423639,0.00
no_memory,14,0.6667,0.6667,0.436337,0.00
no_memory,15,0.6875,0.6875,0.450566,0.00
no_memory,16,0.7059,0.7059,0.463035,0.00
no_memory,17,0.7222,0.7222,0.476541,0.00
no_memory,18,0.6842,0.6842,0.518482,0.00
no_memory,19,0.7000,0.7000,0.533488,0.00
no_memory,20,0.7143,0.7143,0.547914,0.00
no_memory,21,0.7273,0.7273,0.560445,0.00
no_memory,22,0.7391,0.7391,0.580115,0.00
no_memory,23,0.7083,0.7083,0.602467,0.00
no_memory,24,0.6800,0.6800,0.661264,0.00
no_memory,25,0.6923,0.6923,0.679342,0.00
no_memory,26,0.7037,0.7037,0.692462,0.00
no_memory,27,0.7143,0.7143,0.706925,0.00
no_memory,28,0.7241,0.7241,0.746893,0.00
no_memory,29,0.7333,0.7333,0.765200,0.00
no_memory,30,0.7419,0.7419,0.781345,0.00
no_memory,31,0.7500,0.7500,0.795018,0.00
no_memory,32,0.7576,0.7576,0.812095,0.00
no_memory,33,0.7353,0.7353,0.842226,0.00
no_memory,34,0.7429,0.7429,0.856095,0.00
no_memory,35,0.7222,0.7222,0.931932,0.00
no_memory,36,0.7297,0.7297,0.944877,0.00
no_memory,37,0.7368,0.7368,0.958204,0.00
no_memory,38,0.7436,0.7436,0.973050,0.00
no_memory,39,0.7500,0.7500,0.998622,0.00
no_memory,40,0.7317,0.7317,1.137238,0.00
no_memory,41,0.7381,0.7381,1.153464,0.00
no_memory,42,0.7442,0.7442,1.166474,0.00
no_memory,43,0.7500,0.7500,1.179413,0.00
no_memory,44,0.7556,0.7556,1.197123,0.00
no_memory,45,0.7609,0.7609,1.235027,0.00
no_memory,46,0.7660,0.7660,1.247725,0.00
no_memory,47,0.7500,0.7500,1.335832,0.00
no_memory,48,0.7551,0.7551,1.350640,0.00
no_memory,49,0.7600,0.7600,1.363674,0.00
no_memory,50,0.7647,0.7647,1.382310,0.00
no_memory,51,0.7692,0.7692,1.450700,0.00
no_memory,52,0.7736,0.7736,1.465520,0.00
no_memory,53,0.7593,0.7593,1.490982,0.00
no_memory,54,0.7455,0.7455,1.524270,0.00
no_memory,55,0.7500,0.7500,1.564254,0.00
no_memory,56,0.7368,0.7368,1.577103,0.00
no_memory,57,0.7241,0.7241,1.591257,0.00
no_memory,58,0.7288,0.7288,1.604030,0.00
no_memory,59,0.7167,0.7167,1.649009,0.00
no_memory,60,0.7213,0.7213,1.663340,0.00
no_memory,61,0.7258,0.7258,1.677198,0.00
no_memory,62,0.7302,0.7302,1.692282,0.00
no_memory,63,0.7344,0.7344,1.706937,0.00
no_memory,64,0.7231,0.7231,1.720683,0.00
no_memory,65,0.7273,0.7273,1.788305,0.00
no_memory,66,0.7313,0.7313,1.835593,0.00
no_memory,67,0.7353,0.7353,1.853539,0.00
no_memory,68,0.7391,0.7391,1.867881,0.00
no_memory,69,0.7429,0.7429,1.890018,0.00
no_memory,70,0.7465,0.7465,1.904472,0.00
no_memory,71,0.7500,0.7500,1.955840,0.00
no_memory,72,0.7534,0.7534,1.982853,0.00
no_memory,73,0.7432,0.7432,1.996634,0.00
no_memory,74,0.7467,0.7467,2.012001,0.00
no_memory,75,0.7368,0.7368,2.035599,0.00
no_memory,76,0.7273,0.7273,2.048866,0.00
no_memory,77,0.7308,0.7308,2.066168,0.00
no_memory,78,0.7342,0.7342,2.079148,0.00
no_memory,79,0.7375,0.7375,2.099535,0.00
no_memory,80,0.7284,0.7284,2.114632,0.00
no_memory,81,0.7317,0.7317,2.127541,0.00
no_memory,82,0.7229,0.7229,2.206880,0.00
no_memory,83,0.7262,0.7262,2.219817,0.00
no_memory,84,0.7294,0.7294,2.235164,0.00
no_memory,85,0.7326,0.7326,2.247958,0.00
no_memory,86,0.7356,0.7356,2.272318,0.00
no_memory,87,0.7386,0.7386,2.285429,0.00
no_memory,88,0.7416,0.7416,2.298637,0.00
no_memory,89,0.7444,0.7444,2.314304,0.00
no_memory,90,0.7363,0.7363,2.335709,0.00
no_memory,91,0.7283,0.7283,2.436891,0.00
no_memory,92,0.7312,0.7312,2.452302,0.00
no_memory,93,0.7340,0.7340,2.469282,0.00
no_memory,94,0.7368,0.7368,2.481526,0.00
no_memory,95,0.7292,0.7292,2.494315,0.00
ours_full,0,1.0000,1.0000,5.081956,3.00
ours_full,1,1.0000,1.0000,5.097706,3.00
ours_full,2,0.6667,0.6667,5.121735,3.00
ours_full,3,0.7500,0.7500,5.142662,3.00
ours_full,4,0.8000,0.8000,5.158552,3.00
ours_full,5,0.8333,0.8333,5.174685,3.00
ours_full,6,0.8571,0.8571,5.202176,3.00
ours_full,7,0.8750,0.8750,5.230536,3.00
ours_full,8,0.8889,0.8889,5.262673,3.00
ours_full,9,0.9000,0.9000,5.279089,3.00
ours_full,10,0.8182,0.8182,5.323819,3.00
ours_full,11,0.8333,0.8333,5.346610,3.00
ours_full,12,0.8462,0.8462,5.378434,3.00
ours_full,13,0.8571,0.8571,5.401598,3.00
ours_full,14,0.8667,0.8667,5.418484,3.00
ours_full,15,0.8750,0.8750,5.435311,3.00
ours_full,16,0.8824,0.8824,5.452773,3.00
ours_full,17,0.8889,0.8889,5.469033,3.00
ours_full,18,0.8947,0.8947,5.593277,3.00
ours_full,19,0.9000,0.9000,5.612080,3.00
ours_full,20,0.9048,0.9048,5.629696,3.00
ours_full,21,0.9091,0.9091,5.645588,3.00
ours_full,22,0.9130,0.9130,5.669456,3.00
ours_full,23,0.8750,0.8750,5.695022,3.00
ours_full,24,0.8800,0.8800,5.726878,3.00
ours_full,25,0.8846,0.8846,5.754374,3.00
ours_full,26,0.8889,0.8889,5.770948,3.00
ours_full,27,0.8929,0.8929,5.789494,3.00
ours_full,28,0.8966,0.8966,5.819525,3.00
ours_full,29,0.9000,0.9000,5.840226,3.00
ours_full,30,0.9032,0.9032,5.857360,3.00
ours_full,31,0.9062,0.9062,5.874031,3.00
ours_full,32,0.9091,0.9091,5.903062,3.00
ours_full,33,0.9118,0.9118,5.928461,3.00
ours_full,34,0.9143,0.9143,5.947887,3.00
ours_full,35,0.9167,0.9167,6.072532,3.00
ours_full,36,0.9189,0.9189,6.088581,3.00
ours_full,37,0.9211,0.9211,6.104588,3.00
ours_full,38,0.9231,0.9231,6.121812,3.00
ours_full,39,0.9000,0.9000,6.145946,3.00
ours_full,40,0.9024,0.9024,6.173597,3.00
