method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.021847,0.00
no_memory,1,1.0000,1.0000,0.036822,0.00
no_memory,2,1.0000,1.0000,0.049564,0.00
no_memory,3,1.0000,1.0000,0.065688,0.00
no_memory,4,0.8000,0.8000,0.081141,0.00
no_memory,5,0.6667,0.6667,0.094529,0.00
no_memory,6,0.7143,0.7143,0.106654,0.00
no_memory,7,0.7500,0.7500,0.125049,0.00
no_memory,8,0.7778,0.7778,0.138018,0.00
no_memory,9,0.7000,0.7000,0.155522,0.00
no_memory,10,0.6364,0.6364,0.168741,0.00
no_memory,11,0.5833,0.5833,0.180640,0.00
no_memory,12,0.5385,0.5385,0.195324,0.00
no_memory,13,0.5714,0.5714,0.209715,0.00
no_memory,14,0.6000,0.6000,0.228507,0.00
no_memory,15,0.5625,0.5625,0.240245,0.00
no_memory,16,0.5882,0.5882,0.253329,0.00
no_memory,17,0.5556,0.5556,0.265497,0.00
no_memory,18,0.5263,0.5263,0.280447,0.00
no_memory,19,0.5500,0.5500,0.294269,0.00
no_memory,20,0.5714,0.5714,0.308154,0.00
no_memory,21,0.5909,0.5909,0.329469,0.00
no_memory,22,0.5652,0.5652,0.344867,0.00
no_memory,23,0.5417,0.5417,0.361658,0.00
no_memory,24,0.5600,0.5600,0.376796,0.00
no_memory,25,0.5769,0.5769,0.392204,0.00
no_memory,26,0.5926,0.5926,0.404841,0.00
no_memory,27,0.6071,0.6071,0.420180,0.00
no_memory,28,0.5862,0.5862,0.432554,0.00
no_memory,29,0.5667,0.5667,0.447028,0.00
no_memory,30,0.5806,0.5806,0.460865,0.00
no_memory,31,0.5938,0.5938,0.478579,0.00
no_memory,32,0.6061,0.6061,0.492633,0.00
no_memory,33,0.5882,0.5882,0.506863,0.00
no_memory,34,0.5714,0.5714,0.522773,0.00
no_memory,35,0.5833,0.5833,0.536785,0.00
no_memory,36,0.5676,0.5676,0.553953,0.00
no_memory,37,0.5526,0.5526,0.567989,0.00
no_memory,38,0.5385,0.5385,0.583872,0.00
no_memory,39,0.5500,0.5500,0.599707,0.00
no_memory,40,0.5610,0.5610,0.615749,0.00
no_memory,41,0.5476,0.5476,0.636440,0.00
no_memory,42,0.5349,0.5349,0.648683,0.00
no_memory,43,0.5455,0.5455,0.660684,0.00
no_memory,44,0.5556,0.5556,0.677959,0.00
no_memory,45,0.5652,0.5652,0.691604,0.00
no_memory,46,0.5532,0.5532,0.709512,0.00
no_memory,47,0.5417,0.5417,0.722653,0.00
no_memory,48,0.5306,0.5306,0.736495,0.00
no_memory,49,0.5200,0.5200,0.748515,0.00
no_memory,50,0.5294,0.5294,0.762777,0.00
no_memory,51,0.5192,0.5192,0.775542,0.00
no_memory,52,0.5283,0.5283,0.794218,0.00
no_memory,53,0.5185,0.5185,0.806699,0.00
no_memory,54,0.5273,0.5273,0.824715,0.00
no_memory,55,0.5357,0.5357,0.838947,0.00
no_memory,56,0.5439,0.5439,0.850599,0.00
no_memory,57,0.5517,0.5517,0.864074,0.00
no_memory,58,0.5593,0.5593,0.883232,0.00
no_memory,59,0.5667,0.5667,0.898291,0.00
no_memory,60,0.5738,0.5738,0.914102,0.00
no_memory,61,0.5806,0.5806,0.925848,0.00
no_memory,62,0.5714,0.5714,0.937341,0.00
no_memory,63,0.5781,0.5781,0.949042,0.00
no_memory,64,0.5692,0.5692,0.964284,0.00
no_memory,65,0.5758,0.5758,0.982380,0.00
no_memory,66,0.5821,0.5821,0.996780,0.00
no_memory,67,0.5882,0.5882,1.013365,0.00
no_memory,68,0.5797,0.5797,1.027031,0.00
no_memory,69,0.5714,0.5714,1.043666,0.00
no_memory,70,0.5634,0.5634,1.055912,0.00
no_memory,71,0.5694,0.5694,1.072505,0.00
no_memory,72,0.5616,0.5616,1.084787,0.00
no_memory,73,0.5541,0.5541,1.096385,0.00
no_memory,74,0.5467,0.5467,1.114891,0.00
