method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ours_full,0,1.0000,1.0000,5.281969,4.00
ours_full,1,1.0000,1.0000,5.297486,4.00
ours_full,2,0.6667,0.6667,5.321781,4.00
ours_full,3,0.7500,0.7500,5.340855,4.00
ours_full,4,0.8000,0.8000,5.357541,4.00
ours_full,5,0.8333,0.8333,5.373906,4.00
ours_full,6,0.8571,0.8571,5.409003,4.00
ours_full,7,0.8750,0.8750,5.440524,4.00
ours_full,8,0.8889,0.8889,5.470206,4.00
ours_full,9,0.9000,0.9000,5.486557,4.00
ours_full,10,0.9091,0.9091,5.544627,4.00
ours_full,11,0.9167,0.9167,5.567474,4.00
ours_full,12,0.9231,0.9231,5.599023,4.00
ours_full,13,0.9286,0.9286,5.618532,4.00
ours_full,14,0.9333,0.9333,5.635844,4.00
ours_full,15,0.9375,0.9375,5.652940,4.00
ours_full,16,0.9412,0.9412,5.669190,4.00
ours_full,17,0.9444,0.9444,5.686101,4.00
ours_full,18,0.9474,0.9474,5.775775,4.00
ours_full,19,0.9500,0.9500,5.795208,4.00
ours_full,20,0.9524,0.9524,5.812799,4.00
ours_full,21,0.9545,0.9545,5.828681,4.00
ours_full,22,0.9565,0.9565,5.849015,4.00
ours_full,23,0.9583,0.9583,5.875345,4.00
ours_full,24,0.9600,0.9600,5.912909,4.00
ours_full,25,0.9615,0.9615,5.930592,4.00
ours_full,26,0.9630,0.9630,5.947102,4.00
ours_full,27,0.9643,0.9643,5.965328,4.00
ours_full,28,0.9655,0.9655,6.037224,4.00
ours_full,29,0.9667,0.9667,6.062430,4.00
ours_full,30,0.9677,0.9677,6.081290,4.00
ours_full,31,0.9688,0.9688,6.097666,4.00
ours_full,32,0.9697,0.9697,6.117532,4.00
ours_full,33,0.9706,0.9706,6.164021,4.00
ours_full,34,0.9714,0.9714,6.181387,4.00
ours_full,35,0.9444,0.9444,6.345934,4.00
ours_full,36,0.9459,0.9459,6.361898,4.00
ours_full,37,0.9474,0.9474,6.377735,4.00
ours_full,38,0.9487,0.9487,6.394379,4.00
ours_full,39,0.9500,0.9500,6.416909,4.00
ours_full,40,0.9268,0.9268,6.556835,4.00
ours_full,41,0.9286,0.9286,6.576629,4.00
ours_full,42,0.9302,0.9302,6.592768,4.00
ours_full,43,0.9318,0.9318,6.608502,4.00
ours_full,44,0.9333,0.9333,6.626430,4.00
ours_full,45,0.9130,0.9130,6.663402,4.00
ours_full,46,0.9149,0.9149,6.679814,4.00
ours_full,47,0.8958,0.8958,6.731469,4.00
ours_full,48,0.8980,0.8980,6.749096,4.00
ours_full,49,0.9000,0.9000,6.764958,4.00
ours_full,50,0.9020,0.9020,6.790197,4.00
ours_full,51,0.9038,0.9038,6.843020,4.00
ours_full,52,0.9057,0.9057,6.860789,4.00
ours_full,53,0.9074,0.9074,6.907244,4.00
ours_full,54,0.9091,0.9091,6.955930,4.00
ours_full,55,0.9107,0.9107,6.983522,4.00
ours_full,56,0.9123,0.9123,6.999579,4.00
ours_full,57,0.9138,0.9138,7.017142,4.00
ours_full,58,0.9153,0.9153,7.033221,4.00
ours_full,59,0.9000,0.9000,7.064488,4.00
ours_full,60,0.9016,0.9016,7.082228,4.00
ours_full,61,0.9032,0.9032,7.099434,4.00
ours_full,62,0.9048,0.9048,7.116696,4.00
ours_full,63,0.9062,0.9062,7.138296,4.00
ours_full,64,0.9077,0.9077,7.155255,4.00
ours_full,65,0.9091,0.9091,7.207332,4.00
ours_full,66,0.9104,0.9104,7.232195,4.00
ours_full,67,0.9118,0.9118,7.252805,4.00
ours_full,68,0.9130,0.9130,7.269990,4.00
ours_full,69,0.9143,0.9143,7.302672,4.00
ours_full,70,0.9155,0.9155,7.320499,4.00
ours_full,71,0.9167,0.9167,7.361161,4.00
ours_full,72,0.9178,0.9178,7.389865,4.00
ours_full,73,0.9189,0.9189,7.406170,4.00
ours_full,74,0.9200,0.9200,7.428287,4.00
ours_full,75,0.9211,0.9211,7.453620,4.00
ours_full,76,0.9221,0.9221,7.470066,4.00
ours_full,77,0.9103,0.9103,7.494697,4.00
ours_full,78,0.9114,0.9114,7.510860,4.00
ours_full,79,0.9125,0.9125,7.528036,4.00
ours_full,80,0.9136,0.9136,7.546833,4.00
ours_full,81,0.9146,0.9146,7.565013,4.00
ours_full,82,0.9157,0.9157,7.634382,4.00
ours_full,83,0.9167,0.9167,7.650473,4.00
ours_full,84,0.9176,0.9176,7.668104,4.00
ours_full,85,0.9186,0.9186,7.683704,4.00
ours_full,86,0.9195,0.9195,7.714647,4.00
ours_full,87,0.9205,0.9205,7.731297,4.00
ours_full,88,0.9213,0.9213,7.747278,4.00
ours_full,89,0.9222,0.9222,7.767579,4.00
ours_full,90,0.9231,0.9231,7.816434,4.00
ours_full,91,0.9239,0.9239,7.866899,4.00
ours_full,92,0.9247,0.9247,7.884108,4.00
ours_full,93,0.9255,0.9255,7.903182,4.00
ours_full,94,0.9263,0.9263,7.918400,4.00
ours_full,95,0.9271,0.9271,7.934539,4.00
