method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.004402,0.00
no_memory,1,1.0000,1.0000,0.020275,0.00
no_memory,2,1.0000,1.0000,0.035774,0.00
no_memory,3,0.7500,0.7500,0.050089,0.00
no_memory,4,0.8000,0.8000,0.064970,0.00
no_memory,5,0.6667,0.8095,0.079238,0.00
no_memory,6,0.7143,0.8367,0.095163,0.00
no_memory,7,0.7500,0.8571,0.111563,0.00
no_memory,8,0.7778,0.8730,0.125862,0.00
no_memory,9,0.8000,0.8857,0.140080,0.00
no_memory,10,0.7273,0.8052,0.157769,0.00
no_memory,11,0.7500,0.8214,0.173856,0.00
no_memory,12,0.6923,0.7582,0.234730,0.00
no_memory,13,0.7143,0.7755,0.250588,0.00
no_memory,14,0.7333,0.7905,0.268449,0.00
no_memory,15,0.6875,0.7827,0.282255,0.00
no_memory,16,0.7059,0.7955,0.301019,0.00
no_memory,17,0.7222,0.8069,0.315930,0.00
no_memory,18,0.6842,0.7907,0.332044,0.00
no_memory,19,0.7000,0.8012,0.346551,0.00
no_memory,20,0.6667,0.7726,0.361003,0.00
no_memory,21,0.6818,0.7829,0.375139,0.00
no_memory,22,0.6522,0.7778,0.390804,0.00
no_memory,23,0.6667,0.7871,0.407367,0.00
episodic,0,1.0000,1.0000,0.004442,0.00
episodic,1,0.5000,0.9444,0.019852,0.00
episodic,2,0.6667,0.9630,0.035764,0.00
episodic,3,0.5000,0.7222,0.050263,0.00
episodic,4,0.6000,0.7778,0.065173,0.00
episodic,5,0.5000,0.7910,0.080036,0.00
episodic,6,0.5714,0.8209,0.097284,0.00
episodic,7,0.6250,0.8433,0.114260,0.00
episodic,8,0.6667,0.8607,0.128591,0.00
episodic,9,0.7000,0.8746,0.143923,0.00
episodic,10,0.6364,0.7951,0.162984,0.00
episodic,11,0.6667,0.8122,0.179635,0.00
episodic,12,0.6154,0.7497,0.212742,0.00
episodic,13,0.6429,0.7676,0.229287,0.00
episodic,14,0.6667,0.7831,0.247298,0.00
episodic,15,0.6250,0.7758,0.261996,0.00
episodic,16,0.6471,0.7890,0.278357,0.00
episodic,17,0.6667,0.8007,0.294296,0.00
episodic,18,0.6316,0.7849,0.310375,0.00
episodic,19,0.6500,0.7956,0.325882,0.00
episodic,20,0.6667,0.8054,0.340067,0.00
episodic,21,0.6818,0.8142,0.354919,0.00
episodic,22,0.6522,0.8078,0.371716,0.00
episodic,23,0.6667,0.8158,0.388999,0.00
