method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ours_full,0,0.0000,0.0000,0.047574,1.00
ours_full,1,0.5000,0.5000,0.107082,1.00
ours_full,2,0.6667,0.6667,0.169995,1.00
ours_full,3,0.7500,0.7500,0.292824,2.00
ours_full,4,0.8000,0.8000,0.347228,2.00
ours_full,5,0.8333,0.8333,0.467850,3.00
ours_full,6,0.8571,0.8571,0.594430,4.00
ours_full,7,0.8750,0.8750,0.660043,4.00
ours_full,8,0.8889,0.8889,0.774623,4.00
ours_full,9,0.9000,0.9000,0.849741,4.00
ours_full,10,0.8182,0.8182,0.918182,5.00
ours_full,11,0.8333,0.8333,0.985793,5.00
ours_full,12,0.8462,0.8462,1.045812,5.00
ours_full,13,0.8571,0.8571,1.109464,5.00
ours_full,14,0.8667,0.8667,1.170678,5.00
ours_full,15,0.8750,0.8750,1.247682,5.00
ours_full,16,0.8235,0.8235,2.527613,7.00
ours_full,17,0.8333,0.8333,2.593657,7.00
ours_full,18,0.7895,0.7895,2.655683,8.00
ours_full,19,0.8000,0.8000,2.766165,9.00
ours_full,20,0.8095,0.8095,2.845130,9.00
ours_full,21,0.8182,0.8182,2.945397,10.00
ours_full,22,0.8261,0.8261,3.014921,10.00
ours_full,23,0.8333,0.8333,3.098780,10.00
