method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,0.0000,0.0000,0.012642,0.00
no_memory,1,0.5000,0.5000,0.025051,0.00
no_memory,2,0.6667,0.6667,0.036876,0.00
no_memory,3,0.7500,0.7500,0.049544,0.00
no_memory,4,0.8000,0.8000,0.062187,0.00
no_memory,5,0.8333,0.8333,0.076379,0.00
no_memory,6,0.8571,0.8571,0.092195,0.00
no_memory,7,0.8750,0.8750,0.104848,0.00
no_memory,8,0.7778,0.8519,0.118974,0.00
no_memory,9,0.8000,0.8667,0.134251,0.00
no_memory,10,0.7273,0.7879,0.149031,0.00
no_memory,11,0.7500,0.8056,0.165068,0.00
no_memory,12,0.7692,0.8205,0.179102,0.00
no_memory,13,0.7857,0.8333,0.191420,0.00
no_memory,14,0.7333,0.7778,0.204210,0.00
no_memory,15,0.6875,0.7604,0.218014,0.00
no_memory,16,0.7059,0.7745,0.240526,0.00
no_memory,17,0.6667,0.7315,0.252699,0.00
no_memory,18,0.6316,0.6930,0.265477,0.00
no_memory,19,0.6500,0.7083,0.280417,0.00
no_memory,20,0.6667,0.7222,0.293003,0.00
no_memory,21,0.6818,0.7348,0.306988,0.00
no_memory,22,0.6957,0.7464,0.322325,0.00
no_memory,23,0.7083,0.7569,0.336293,0.00
ours_full,0,0.0000,0.0000,0.046376,1.00
ours_full,1,0.5000,0.5000,0.091033,1.00
ours_full,2,0.6667,0.6667,0.145614,1.00
ours_full,3,0.7500,0.7500,0.199009,1.00
ours_full,4,0.8000,0.8000,0.246210,2.00
ours_full,5,0.8333,0.8333,0.298080,2.00
ours_full,6,0.8571,0.8571,0.425224,3.00
ours_full,7,0.8750,0.8750,0.476507,3.00
ours_full,8,0.7778,0.8519,0.591691,4.00
ours_full,9,0.8000,0.8667,0.663196,4.00
ours_full,10,0.7273,0.7879,0.718266,5.00
ours_full,11,0.7500,0.8056,0.772224,5.00
ours_full,12,0.7692,0.8205,0.825391,5.00
ours_full,13,0.7857,0.8333,0.877641,5.00
ours_full,14,0.8000,0.8444,0.927773,5.00
ours_full,15,0.8125,0.8542,0.987937,5.00
ours_full,16,0.8235,0.8627,2.019860,6.00
ours_full,17,0.8333,0.8704,2.079825,6.00
ours_full,18,0.7895,0.8246,2.133564,7.00
ours_full,19,0.8000,0.8333,2.232202,8.00
ours_full,20,0.8095,0.8413,2.295668,8.00
ours_full,21,0.8182,0.8485,2.380836,9.00
ours_full,22,0.7826,0.8333,2.442328,10.00
ours_full,23,0.7917,0.8403,2.566967,10.00
