method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ours_full,0,1.0000,1.0000,9.326963,194.00
ours_full,1,0.5000,0.5000,9.362234,194.00
ours_full,2,0.3333,0.3333,9.384383,194.00
ours_full,3,0.5000,0.5000,9.411519,194.00
ours_full,4,0.4000,0.4000,9.444629,194.00
ours_full,5,0.5000,0.5000,9.470136,194.00
ours_full,6,0.5714,0.5714,9.502636,194.00
ours_full,7,0.6250,0.6250,9.539804,194.00
ours_full,8,0.6667,0.6667,9.585710,194.00
ours_full,9,0.7000,0.7000,9.632778,194.00
ours_full,10,0.7273,0.7273,9.677400,194.00
ours_full,11,0.6667,0.6667,9.715476,194.00
ours_full,12,0.6154,0.6154,9.744743,194.00
ours_full,13,0.6429,0.6429,9.767162,194.00
ours_full,14,0.6667,0.6667,9.798495,194.00
ours_full,15,0.6250,0.6250,9.864127,194.00
ours_full,16,0.6471,0.6471,9.897626,194.00
ours_full,17,0.6667,0.6667,9.956417,194.00
ours_full,18,0.6316,0.6316,9.991628,194.00
ours_full,19,0.6500,0.6500,10.017380,194.00
ours_full,20,0.6190,0.6190,10.053890,194.00
ours_full,21,0.6364,0.6364,10.079607,194.00
ours_full,22,0.6522,0.6522,10.109018,194.00
ours_full,23,0.6667,0.6667,10.158766,194.00
ours_full,24,0.6400,0.6400,10.182801,194.00
ours_full,25,0.6154,0.6154,10.211893,194.00
ours_full,26,0.6296,0.6296,10.257605,194.00
ours_full,27,0.6429,0.6429,10.300198,194.00
ours_full,28,0.6207,0.6207,10.344944,194.00
ours_full,29,0.6333,0.6333,10.371922,194.00
ours_full,30,0.6129,0.6129,10.472513,194.00
ours_full,31,0.6250,0.6250,10.503930,194.00
ours_full,32,0.6364,0.6364,10.533817,194.00
ours_full,33,0.6471,0.6471,10.578627,194.00
ours_full,34,0.6571,0.6571,10.642049,194.00
ours_full,35,0.6389,0.6389,10.702897,194.00
ours_full,36,0.6216,0.6216,10.746944,194.00
ours_full,37,0.6053,0.6053,10.799820,194.00
ours_full,38,0.5897,0.5897,10.846236,194.00
ours_full,39,0.6000,0.6000,10.870459,194.00
ours_full,40,0.5854,0.5854,10.909344,194.00
ours_full,41,0.5714,0.5714,10.960459,194.00
ours_full,42,0.5581,0.5581,10.997262,194.00
ours_full,43,0.5455,0.5455,11.021521,194.00
ours_full,44,0.5333,0.5333,11.047933,194.00
ours_full,45,0.5217,0.5217,11.111841,194.00
ours_full,46,0.5319,0.5319,11.157410,194.00
ours_full,47,0.5208,0.5208,11.197865,194.00
ours_full,48,0.5102,0.5102,11.242017,194.00
ours_full,49,0.5000,0.5000,11.262736,194.00
ours_full,50,0.4902,0.4902,11.287679,194.00
ours_full,51,0.4808,0.4808,11.312113,194.00
ours_full,52,0.4717,0.4717,11.337978,194.00
ours_full,53,0.4630,0.4630,11.393830,194.00
ours_full,54,0.4727,0.4727,11.428453,194.00
ours_full,55,0.4821,0.4821,11.452999,194.00
ours_full,56,0.4737,0.4737,11.496752,194.00
ours_full,57,0.4655,0.4655,11.605378,194.00
ours_full,58,0.4746,0.4746,11.686204,194.00
ours_full,59,0.4667,0.4667,11.719980,194.00
ours_full,60,0.4754,0.4754,11.761863,194.00
ours_full,61,0.4839,0.4839,11.794306,194.00
ours_full,62,0.4762,0.4762,11.871122,194.00
ours_full,63,0.4688,0.4688,11.912192,194.00
ours_full,64,0.4769,0.4769,11.979359,194.00
ours_full,65,0.4697,0.4697,12.009813,194.00
ours_full,66,0.4776,0.4776,12.077957,194.00
ours_full,67,0.4853,0.4853,12.106870,194.00
ours_full,68,0.4783,0.4783,12.168907,194.00
ours_full,69,0.4714,0.4714,12.229823,194.00
ours_full,70,0.4648,0.4648,12.277999,194.00
ours_full,71,0.4722,0.4722,12.317233,194.00
ours_full,72,0.4658,0.4658,12.340218,194.00
ours_full,73,0.4730,0.4730,12.387413,194.00
ours_full,74,0.4800,0.4800,12.416063,194.00
ours_full,75,0.4868,0.4868,12.463977,194.00
ours_full,76,0.4805,0.4805,12.518397,194.00
ours_full,77,0.4744,0.4744,12.547702,194.00
ours_full,78,0.4684,0.4684,12.626044,194.00
ours_full,79,0.4750,0.4750,12.650455,194.00
ours_full,80,0.4691,0.4691,12.701936,194.00
ours_full,81,0.4634,0.4634,12.758109,194.00
ours_full,82,0.4578,0.4578,12.801683,194.00
ours_full,83,0.4524,0.4524,12.845979,194.00
ours_full,84,0.4471,0.4471,12.890306,194.00
ours_full,85,0.4419,0.4419,12.912328,194.00
ours_full,86,0.4368,0.4368,12.940071,194.00
ours_full,87,0.4432,0.4432,12.966389,194.00
ours_full,88,0.4382,0.4382,13.028184,194.00
ours_full,89,0.4333,0.4333,13.086513,194.00
ours_full,90,0.4396,0.4396,13.139006,194.00
ours_full,91,0.4348,0.4348,13.184126,194.00
ours_full,92,0.4301,0.4301,13.247848,194.00
ours_full,93,0.4362,0.4362,13.297752,194.00
ours_full,94,0.4316,0.4316,13.363905,194.00
ours_full,95,0.4271,0.4271,13.399566,194.00
ours_full,96,0.4227,0.4227,13.436422,194.00
ours_full,97,0.4184,0.4184,13.479966,194.00
ours_full,98,0.4242,0.4242,13.535448,194.00
ours_full,99,0.4300,0.4300,13.578646,194.00
ours_full,100,0.4356,0.4356,13.611709,194.00
ours_full,101,0.4412,0.4412,13.655275,194.00
ours_full,102,0.4369,0.4369,13.714401,194.00
ours_full,103,0.4423,0.4423,13.813480,194.00
ours_full,104,0.4476,0.4476,13.910579,194.00
ours_full,105,0.4528,0.4528,13.958625,194.00
ours_full,106,0.4579,0.4579,13.979355,194.00
ours_full,107,0.4630,0.4630,14.039699,194.00
ours_full,108,0.4679,0.4679,14.073957,194.00
ours_full,109,0.4636,0.4636,14.153912,194.00
ours_full,110,0.4685,0.4685,14.179085,194.00
ours_full,111,0.4643,0.4643,14.230571,194.00
ours_full,112,0.4602,0.4602,14.291134,194.00
ours_full,113,0.4561,0.4561,14.341541,194.00
ours_full,114,0.4522,0.4522,14.453160,194.00
ours_full,115,0.4483,0.4483,14.505892,194.00
ours_full,116,0.4530,0.4530,14.555733,194.00
ours_full,117,0.4576,0.4576,14.592842,194.00
ours_full,118,0.4622,0.4622,14.639120,194.00
ours_full,119,0.4583,0.4583,14.697304,194.00
ours_full,120,0.4545,0.4545,14.739125,194.00
ours_full,121,0.4508,0.4508,14.786174,194.00
ours_full,122,0.4553,0.4553,14.811615,194.00
ours_full,123,0.4516,0.4516,14.888086,194.00
ours_full,124,0.4480,0.4480,14.925255,194.00
ours_full,125,0.4444,0.4444,14.964106,194.00
ours_full,126,0.4488,0.4488,14.991063,194.00
ours_full,127,0.4531,0.4531,15.038374,194.00
ours_full,128,0.4574,0.4574,15.072087,194.00
ours_full,129,0.4538,0.4538,15.131106,194.00
ours_full,130,0.4504,0.4504,15.176935,194.00
ours_full,131,0.4545,0.4545,15.216293,194.00
ours_full,132,0.4511,0.4511,15.240488,194.00
ours_full,133,0.4478,0.4478,15.316464,194.00
ours_full,134,0.4519,0.4519,15.372060,194.00
ours_full,135,0.4559,0.4559,15.419001,194.00
ours_full,136,0.4526,0.4526,15.444496,194.00
ours_full,137,0.4493,0.4493,15.488907,194.00
ours_full,138,0.4532,0.4532,15.555604,194.00
ours_full,139,0.4571,0.4571,15.624745,194.00
ours_full,140,0.4610,0.4610,15.695709,194.00
ours_full,141,0.4577,0.4577,15.763618,194.00
ours_full,142,0.4545,0.4545,15.794647,194.00
ours_full,143,0.4514,0.4514,15.852418,194.00
ours_full,144,0.4552,0.4552,15.900698,194.00
ours_full,145,0.4589,0.4589,15.930591,194.00
ours_full,146,0.4626,0.4626,15.979977,194.00
ours_full,147,0.4595,0.4595,16.002733,194.00
ours_full,148,0.4564,0.4564,16.051662,194.00
ours_full,149,0.4533,0.4533,16.113910,194.00
ours_full,150,0.4503,0.4503,16.146265,194.00
ours_full,151,0.4474,0.4474,16.199919,194.00
ours_full,152,0.4444,0.4444,16.246881,194.00
ours_full,153,0.4416,0.4416,16.292970,194.00
ours_full,154,0.4452,0.4452,16.318230,194.00
ours_full,155,0.4423,0.4423,16.363890,194.00
ours_full,156,0.4459,0.4459,16.399497,194.00
ours_full,157,0.4430,0.4430,16.438157,194.00
ours_full,158,0.4465,0.4465,16.471350,194.00
ours_full,159,0.4500,0.4500,16.505564,194.00
ours_full,160,0.4472,0.4472,16.551281,194.00
ours_full,161,0.4506,0.4506,16.578542,194.00
ours_full,162,0.4479,0.4479,16.629039,194.00
ours_full,163,0.4451,0.4451,16.696117,194.00
ours_full,164,0.4424,0.4424,16.728622,194.00
ours_full,165,0.4398,0.4398,16.770600,194.00
ours_full,166,0.4371,0.4371,16.834286,194.00
ours_full,167,0.4405,0.4405,16.857629,194.00
ours_full,168,0.4438,0.4438,16.917024,194.00
ours_full,169,0.4412,0.4412,16.970293,194.00
ours_full,170,0.4386,0.4386,17.006070,194.00
ours_full,171,0.4360,0.4360,17.059175,194.00
ours_full,172,0.4335,0.4335,17.096352,194.00
ours_full,173,0.4310,0.4310,17.138184,194.00
ours_full,174,0.4286,0.4286,17.197560,194.00
ours_full,175,0.4261,0.4261,17.247289,194.00
ours_full,176,0.4294,0.4294,17.281689,194.00
ours_full,177,0.4270,0.4270,17.334755,194.00
ours_full,178,0.4246,0.4246,17.381199,194.00
ours_full,179,0.4278,0.4278,17.412430,194.00
ours_full,180,0.4254,0.4254,17.441607,194.00
ours_full,181,0.4286,0.4286,17.496288,194.00
ours_full,182,0.4262,0.4262,17.530629,194.00
ours_full,183,0.4293,0.4293,17.577329,194.00
ours_full,184,0.4270,0.4270,17.622320,194.00
ours_full,185,0.4247,0.4247,17.670239,194.00
ours_full,186,0.4225,0.4225,17.750877,194.00
ours_full,187,0.4255,0.4255,17.797731,194.00
ours_full,188,0.4233,0.4233,17.842677,194.00
ours_full,189,0.4263,0.4263,17.914136,194.00
ours_full,190,0.4293,0.4293,17.946756,194.00
ours_full,191,0.4323,0.4323,17.999383,194.00
ours_full,192,0.4352,0.4352,18.055221,194.00
ours_full,193,0.4330,0.4330,18.087684,194.00
ours_full,194,0.4308,0.4308,18.143677,194.00
ours_full,195,0.4337,0.4337,18.187962,194.00
ours_full,196,0.4365,0.4365,18.234524,194.00
ours_full,197,0.4343,0.4343,18.259737,194.00
ours_full,198,0.4322,0.4322,18.314560,194.00
ours_full,199,0.4350,0.4350,18.354887,194.00
ours_full,200,0.4378,0.4378,18.390291,194.00
ours_full,201,0.4406,0.4406,18.418338,194.00
ours_full,202,0.4384,0.4384,18.506423,194.00
ours_full,203,0.4412,0.4412,18.554737,194.00
ours_full,204,0.4390,0.4390,18.581740,194.00
ours_full,205,0.4417,0.4417,18.616042,194.00
ours_full,206,0.4396,0.4396,18.666315,194.00
ours_full,207,0.4423,0.4423,18.701108,194.00
ours_full,208,0.4450,0.4450,18.766732,194.00
