method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,0.0000,0.0000,0.025443,0.00
no_memory,1,0.0000,0.0000,0.041323,0.00
no_memory,2,0.0000,0.0000,0.110920,0.00
no_memory,3,0.2500,0.2500,0.126579,0.00
no_memory,4,0.4000,0.4000,0.188506,0.00
no_memory,5,0.5000,0.5000,0.226235,0.00
no_memory,6,0.5714,0.5714,0.246078,0.00
no_memory,7,0.5000,0.5000,0.270651,0.00
no_memory,8,0.5556,0.5556,0.332197,0.00
no_memory,9,0.5000,0.5000,0.383674,0.00
no_memory,10,0.5455,0.5455,0.404223,0.00
no_memory,11,0.5000,0.5000,0.434783,0.00
no_memory,12,0.5385,0.5385,0.484434,0.00
no_memory,13,0.5714,0.5714,0.515899,0.00
no_memory,14,0.6000,0.6000,0.536035,0.00
no_memory,15,0.5625,0.5625,0.581489,0.00
no_memory,16,0.5294,0.5294,0.615734,0.00
no_memory,17,0.5000,0.5000,0.647229,0.00
no_memory,18,0.4737,0.4737,0.678133,0.00
no_memory,19,0.4500,0.4500,0.754825,0.00
no_memory,20,0.4762,0.4762,0.792637,0.00
no_memory,21,0.4545,0.4545,0.823621,0.00
no_memory,22,0.4348,0.4348,0.873309,0.00
no_memory,23,0.4167,0.4167,0.927967,0.00
no_memory,24,0.4000,0.4000,0.945626,0.00
no_memory,25,0.3846,0.3846,0.994281,0.00
no_memory,26,0.3704,0.3704,1.051259,0.00
no_memory,27,0.3929,0.3929,1.080745,0.00
no_memory,28,0.4138,0.4138,1.106980,0.00
no_memory,29,0.4000,0.4000,1.182257,0.00
no_memory,30,0.3871,0.3871,1.241924,0.00
no_memory,31,0.3750,0.3750,1.269478,0.00
no_memory,32,0.3939,0.3939,1.292316,0.00
no_memory,33,0.4118,0.4118,1.324965,0.00
no_memory,34,0.4286,0.4286,1.345262,0.00
no_memory,35,0.4167,0.4167,1.380916,0.00
no_memory,36,0.4054,0.4054,1.425963,0.00
no_memory,37,0.3947,0.3947,1.447255,0.00
no_memory,38,0.4103,0.4103,1.468787,0.00
no_memory,39,0.4000,0.4000,1.515836,0.00
no_memory,40,0.3902,0.3902,1.542671,0.00
no_memory,41,0.3810,0.3810,1.574894,0.00
no_memory,42,0.3721,0.3721,1.612150,0.00
no_memory,43,0.3864,0.3864,1.637541,0.00
no_memory,44,0.3778,0.3778,1.684640,0.00
no_memory,45,0.3913,0.3913,1.728118,0.00
no_memory,46,0.4043,0.4043,1.760952,0.00
no_memory,47,0.4167,0.4167,1.815637,0.00
episodic,0,0.0000,0.0000,0.034708,0.00
episodic,1,0.0000,0.0000,0.046148,0.00
episodic,2,0.0000,0.0000,0.119475,0.00
episodic,3,0.2500,0.2500,0.138754,0.00
episodic,4,0.4000,0.4000,0.160839,0.00
episodic,5,0.5000,0.5000,0.203622,0.00
episodic,6,0.5714,0.5714,0.219014,0.00
episodic,7,0.5000,0.5000,0.241187,0.00
episodic,8,0.5556,0.5556,0.281581,0.00
episodic,9,0.5000,0.5000,0.334034,0.00
episodic,10,0.5455,0.5455,0.357908,0.00
episodic,11,0.5833,0.5833,0.389968,0.00
episodic,12,0.6154,0.6154,0.411599,0.00
episodic,13,0.6429,0.6429,0.439308,0.00
episodic,14,0.6667,0.6667,0.460085,0.00
episodic,15,0.6250,0.6250,0.500294,0.00
episodic,16,0.6471,0.6471,0.532223,0.00
episodic,17,0.6111,0.6111,0.566977,0.00
episodic,18,0.5789,0.5789,0.591522,0.00
episodic,19,0.5500,0.5500,0.643399,0.00
episodic,20,0.5238,0.5238,0.692796,0.00
episodic,21,0.5000,0.5000,0.747616,0.00
episodic,22,0.5217,0.5217,0.793824,0.00
episodic,23,0.5000,0.5000,0.833077,0.00
episodic,24,0.5200,0.5200,0.851965,0.00
episodic,25,0.5000,0.5000,0.878545,0.00
episodic,26,0.5185,0.5185,0.918665,0.00
episodic,27,0.5357,0.5357,0.940149,0.00
episodic,28,0.5517,0.5517,0.978991,0.00
episodic,29,0.5333,0.5333,1.047222,0.00
episodic,30,0.5484,0.5484,1.078252,0.00
episodic,31,0.5625,0.5625,1.102115,0.00
episodic,32,0.5758,0.5758,1.127929,0.00
episodic,33,0.5882,0.5882,1.150206,0.00
episodic,34,0.6000,0.6000,1.173095,0.00
episodic,35,0.5833,0.5833,1.205098,0.00
episodic,36,0.5946,0.5946,1.255700,0.00
episodic,37,0.5789,0.5789,1.276323,0.00
episodic,38,0.5897,0.5897,1.305781,0.00
episodic,39,0.5750,0.5750,1.344589,0.00
episodic,40,0.5610,0.5610,1.381689,0.00
episodic,41,0.5476,0.5476,1.403455,0.00
episodic,42,0.5581,0.5581,1.440914,0.00
episodic,43,0.5682,0.5682,1.463922,0.00
episodic,44,0.5556,0.5556,1.513455,0.00
episodic,45,0.5435,0.5435,1.546176,0.00
episodic,46,0.5532,0.5532,1.580803,0.00
episodic,47,0.5625,0.5625,1.613358,0.00
ours_mem,0,0.0000,0.0000,0.082230,2.00
ours_mem,1,0.0000,0.0000,0.131193,4.00
ours_mem,2,0.0000,0.0000,0.253647,7.00
ours_mem,3,0.2500,0.2500,0.294549,9.00
ours_mem,4,0.4000,0.4000,0.354512,13.00
ours_mem,5,0.5000,0.5000,0.417313,14.00
ours_mem,6,0.5714,0.5714,0.475224,16.00
ours_mem,7,0.6250,0.6250,0.536221,18.00
ours_mem,8,0.6667,0.6667,0.623794,18.00
ours_mem,9,0.6000,0.6000,0.708235,21.00
ours_mem,10,0.6364,0.6364,0.753165,24.00
ours_mem,11,0.5833,0.5833,0.802838,26.00
ours_mem,12,0.6154,0.6154,0.877949,27.00
ours_mem,13,0.6429,0.6429,0.928759,29.00
ours_mem,14,0.6667,0.6667,0.980973,31.00
ours_mem,15,0.6250,0.6250,1.067419,34.00
ours_mem,16,0.5882,0.5882,1.120661,37.00
ours_mem,17,0.5556,0.5556,1.191189,39.00
ours_mem,18,0.5263,0.5263,1.263568,41.00
ours_mem,19,0.5500,0.5500,1.317608,45.00
ours_mem,20,0.5238,0.5238,1.427722,48.00
ours_mem,21,0.5000,0.5000,1.509731,51.00
ours_mem,22,0.4783,0.4783,1.574959,55.00
ours_mem,23,0.4583,0.4583,1.649100,58.00
ours_mem,24,0.4400,0.4400,1.695411,61.00
ours_mem,25,0.4231,0.4231,1.750753,63.00
ours_mem,26,0.4074,0.4074,1.822451,64.00
ours_mem,27,0.4286,0.4286,1.871329,65.00
ours_mem,28,0.4483,0.4483,1.939174,68.00
ours_mem,29,0.4333,0.4333,2.032104,71.00
ours_mem,30,0.4516,0.4516,2.076545,71.00
ours_mem,31,0.4375,0.4375,2.150831,75.00
ours_mem,32,0.4242,0.4242,2.230907,77.00
ours_mem,33,0.4118,0.4118,2.272743,79.00
ours_mem,34,0.4286,0.4286,2.323169,83.00
ours_mem,35,0.4167,0.4167,2.411808,87.00
ours_mem,36,0.4054,0.4054,2.493804,89.00
ours_mem,37,0.3947,0.3947,2.539704,90.00
ours_mem,38,0.3846,0.3846,2.613450,92.00
ours_mem,39,0.3750,0.3750,2.681952,95.00
ours_mem,40,0.3659,0.3659,2.731859,98.00
ours_mem,41,0.3571,0.3571,2.805613,100.00
ours_mem,42,0.3488,0.3488,2.862785,103.00
ours_mem,43,0.3636,0.3636,2.918670,104.00
ours_mem,44,0.3556,0.3556,2.987321,107.00
ours_mem,45,0.3696,0.3696,3.063814,109.00
ours_mem,46,0.3830,0.3830,3.127559,112.00
ours_mem,47,0.3750,0.3750,3.196908,115.00
ace,0,0.0000,0.0000,0.069551,2.00
ace,1,0.0000,0.0000,0.118599,4.00
ace,2,0.0000,0.0000,0.241418,6.00
ace,3,0.0000,0.0000,0.302211,9.00
ace,4,0.2000,0.2000,0.363921,13.00
ace,5,0.3333,0.3333,0.439783,13.00
ace,6,0.4286,0.4286,0.477603,13.00
ace,7,0.3750,0.3750,0.535968,14.00
ace,8,0.4444,0.4444,0.624598,17.00
ace,9,0.4000,0.4000,0.712125,20.00
ace,10,0.4545,0.4545,0.759940,21.00
ace,11,0.4167,0.4167,0.819596,23.00
ace,12,0.4615,0.4615,0.880204,26.00
ace,13,0.5000,0.5000,0.932754,27.00
ace,14,0.5333,0.5333,0.981880,28.00
ace,15,0.5625,0.5625,1.067821,30.00
ace,16,0.5294,0.5294,1.132111,32.00
ace,17,0.5000,0.5000,1.211605,35.00
ace,18,0.4737,0.4737,1.280485,38.00
ace,19,0.5000,0.5000,1.365113,41.00
ace,20,0.4762,0.4762,1.460730,42.00
ace,21,0.4545,0.4545,1.546170,43.00
ace,22,0.4348,0.4348,1.650539,46.00
ace,23,0.4167,0.4167,1.739571,48.00
ace,24,0.4000,0.4000,1.791908,51.00
ace,25,0.3846,0.3846,1.858314,55.00
ace,26,0.4074,0.4074,1.944604,56.00
ace,27,0.4286,0.4286,2.002877,58.00
ace,28,0.4483,0.4483,2.057090,60.00
ace,29,0.4333,0.4333,2.192313,63.00
ace,30,0.4194,0.4194,2.283447,65.00
ace,31,0.4062,0.4062,2.357226,68.00
ace,32,0.4242,0.4242,2.454547,68.00
ace,33,0.4118,0.4118,2.519572,71.00
ace,34,0.4286,0.4286,2.582113,72.00
ace,35,0.4167,0.4167,2.683003,75.00
ace,36,0.4324,0.4324,2.777205,77.00
ace,37,0.4474,0.4474,2.827432,78.00
ace,38,0.4359,0.4359,2.890870,80.00
ace,39,0.4250,0.4250,2.956403,83.00
ace,40,0.4146,0.4146,3.028143,84.00
ace,41,0.4048,0.4048,3.120965,87.00
ace,42,0.3953,0.3953,3.200761,90.00
ace,43,0.4091,0.4091,3.267180,93.00
ace,44,0.4000,0.4000,3.337564,94.00
ace,45,0.4130,0.4130,3.428148,97.00
ace,46,0.4043,0.4043,3.542724,100.00
