method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.014575,0.00
no_memory,1,1.0000,1.0000,0.025685,0.00
no_memory,2,1.0000,1.0000,0.040135,0.00
no_memory,3,0.8333,0.8770,0.056356,0.00
no_memory,4,0.8667,0.9016,0.070663,0.00
no_memory,5,0.8333,0.9069,0.084554,0.00
no_memory,6,0.8095,0.9043,0.098293,0.00
no_memory,7,0.8333,0.9163,0.112365,0.00
no_memory,8,0.8148,0.9203,0.123594,0.00
no_memory,9,0.8000,0.9171,0.134950,0.00
no_memory,10,0.7576,0.8684,0.149533,0.00
no_memory,11,0.7500,0.8516,0.163849,0.00
no_memory,12,0.7692,0.8630,0.176402,0.00
no_memory,13,0.7619,0.8669,0.190331,0.00
no_memory,14,0.7778,0.8757,0.204533,0.00
no_memory,15,0.7917,0.8835,0.216174,0.00
episodic,0,1.0000,1.0000,0.144742,0.00
episodic,1,1.0000,1.0000,0.158782,0.00
episodic,2,0.8889,0.9630,0.175488,0.00
episodic,3,0.8333,0.8945,0.189330,0.00
episodic,4,0.8667,0.9156,0.203688,0.00
episodic,5,0.8333,0.9186,0.217834,0.00
episodic,6,0.8571,0.9302,0.232092,0.00
episodic,7,0.8333,0.9139,0.246547,0.00
episodic,8,0.8148,0.9182,0.261242,0.00
episodic,9,0.8333,0.9264,0.271937,0.00
episodic,10,0.7879,0.8725,0.286159,0.00
episodic,11,0.7778,0.8633,0.297742,0.00
episodic,12,0.7949,0.8738,0.310651,0.00
episodic,13,0.8095,0.8828,0.325305,0.00
episodic,14,0.8222,0.8906,0.339646,0.00
episodic,15,0.8333,0.8974,0.354676,0.00
ours_full,0,0.6667,0.8889,0.659344,7.33
ours_full,1,0.8333,0.9444,0.674843,7.33
ours_full,2,0.6667,0.8148,0.704534,7.33
ours_full,3,0.7500,0.8611,0.723229,7.33
ours_full,4,0.8000,0.8889,0.739059,7.33
ours_full,5,0.8333,0.9074,0.755808,7.33
ours_full,6,0.8571,0.9206,0.771516,7.33
ours_full,7,0.8333,0.9246,0.789900,7.33
ours_full,8,0.8148,0.9108,0.805649,7.33
ours_full,9,0.8333,0.9197,0.820338,7.33
ours_full,10,0.7879,0.8664,0.837755,7.33
ours_full,11,0.8056,0.8775,0.854320,7.33
ours_full,12,0.8205,0.8869,0.868741,7.33
ours_full,13,0.8333,0.8950,0.884555,7.33
ours_full,14,0.8444,0.9020,0.900672,7.33
ours_full,15,0.8542,0.9081,0.917099,7.33
external_optimizer,0,1.0000,1.0000,0.136846,0.00
external_optimizer,1,1.0000,1.0000,0.152251,0.00
external_optimizer,2,0.8889,0.9630,0.168050,0.00
external_optimizer,3,0.9167,0.9722,0.186753,0.00
external_optimizer,4,0.9333,0.9778,0.202491,0.00
external_optimizer,5,0.8889,0.9704,0.218465,0.00
external_optimizer,6,0.9048,0.9746,0.234015,0.00
external_optimizer,7,0.8750,0.9718,0.249909,0.00
external_optimizer,8,0.8519,0.9697,0.265981,0.00
external_optimizer,9,0.8667,0.9727,0.280543,0.00
external_optimizer,10,0.8788,0.9752,0.296973,0.00
external_optimizer,11,0.8889,0.9772,0.313799,0.00
external_optimizer,12,0.8974,0.9790,0.327815,0.00
external_optimizer,13,0.9048,0.9805,0.340208,0.00
external_optimizer,14,0.9111,0.9818,0.356450,0.00
external_optimizer,15,0.9167,0.9829,0.372736,0.00
