method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
no_memory,0,1.0000,1.0000,0.136878,0.00
no_memory,1,0.5000,0.7222,0.611460,0.00
no_memory,2,0.6667,0.8148,0.692582,0.00
no_memory,3,0.7500,0.8611,0.740753,0.00
no_memory,4,0.8000,0.8889,0.810385,0.00
no_memory,5,0.8333,0.9074,0.862422,0.00
no_memory,6,0.8571,0.9206,1.096687,0.00
no_memory,7,0.8750,0.9305,1.267584,0.00
no_memory,8,0.7778,0.8796,1.537123,0.00
no_memory,9,0.8000,0.8917,1.652929,0.00
no_memory,10,0.7273,0.8333,2.115802,0.00
no_memory,11,0.7500,0.8472,2.191340,0.00
ours_full,0,1.0000,1.0000,12.022730,2.00
ours_full,1,1.0000,1.0000,12.170999,2.00
ours_full,2,1.0000,1.0000,12.265821,2.00
ours_full,3,1.0000,1.0000,12.346860,2.00
ours_full,4,0.8000,0.8500,12.600061,2.00
ours_full,5,0.8333,0.8750,12.659903,2.00
ours_full,6,0.8571,0.8929,12.760516,2.00
ours_full,7,0.8750,0.9062,12.874339,2.00
ours_full,8,0.8889,0.9167,13.135836,2.00
ours_full,9,0.9000,0.9250,13.227226,2.00
ours_full,10,0.8182,0.8460,13.325861,2.00
ours_full,11,0.8333,0.8588,13.383912,2.00
